Time,Price
2015/9/19,232.1
2015/9/20,232.1
2015/9/21,227.2
2015/9/22,231.3
2015/9/23,230.5
2015/9/24,234.6
2015/9/25,235.3
2015/9/26,234.6
2015/9/27,233.4
2015/9/28,240.4
2015/9/29,236.8
2015/9/30,236.5
2015/10/1,238.5
2015/10/2,237.9
2015/10/3,239.8
2015/10/4,239.5
2015/10/5,242
2015/10/6,247.4
2015/10/7,244.2
2015/10/8,243
2015/10/9,244.8
2015/10/10,246
2015/10/11,247.9
2015/10/12,246.1
2015/10/13,251.3
2015/10/14,253.5
2015/10/15,255.2
2015/10/16,263.5
2015/10/17,272.9
2015/10/18,265
2015/10/19,265
2015/10/20,271
2015/10/21,267.8
2015/10/22,275.8
2015/10/23,279.2
2015/10/24,284.2
2015/10/25,284.8
2015/10/26,287.2
2015/10/27,295.2
2015/10/28,304.5
2015/10/29,314.9
